 Frames  X Position (px)  Y Position (px)  Angle (deg)
 512    28.500000        40.000000        213.410384  
 513    28.925926        39.629630        225.275940  
 514    28.577778        39.577778        221.153913  
 515    29.000000        39.733333        224.813072  
 516    28.777778        39.777778        220.743945  
 517    28.666667        39.743590        219.775578  
 518    28.422222        39.577778        219.232072  
 519    28.422222        39.577778        219.232072  
 520    28.500000        39.645833        219.163616  
 521    28.500000        39.645833        219.163616  
 522    28.500000        39.645833        219.163616  
 523    28.500000        39.645833        219.163616  
 524    28.500000        39.645833        219.163616  
 525    28.577778        40.422222        206.184129  
 526    28.500000        40.354167        206.782540  
 527    28.577778        40.422222        206.184129  
 528    28.500000        40.354167        206.782540  
 529    28.500000        39.645833        219.163616  
 530    28.500000        39.645833        219.163616  
 531    30.256410        44.333333        100.630536  
 532    31.256410        46.333333         84.439173  
 533    32.222222        46.222222         73.062242  
 534    32.777778        46.222222         67.100856  
 535    33.500000        46.354167         60.753865  
 536    33.833333        45.555556         53.027950  
 537    33.833333        45.555556         53.027950  
 538    34.422222        45.422222         47.111077  
 539    34.577778        44.577778         38.994707  
 540    34.500000        44.645833         40.195016  
 541    34.500000        45.000000         43.237440  
 542    34.500000        45.000000         43.237440  
 543    34.500000        45.000000         43.237440  
 544    34.500000        45.000000         43.237440  
 545    34.500000        45.000000         43.237440  
 546    34.333333        45.256410         46.581190  
 547    34.256410        45.333333         47.787759  
 548    34.222222        45.222222         47.229073  
 549    34.222222        45.222222         47.229073  
 550    34.000000        45.375000         50.271883  
 551    33.577778        45.422222         54.505823  
 552    33.577778        45.422222         54.505823  
 553    33.577778        45.422222         54.505823  
 554    34.256410        45.333333         47.787759  
 555    34.500000        45.000000         43.237440  
 556    34.444444        45.166667         45.003986  
 557    34.500000        44.645833         40.195016  
 558    34.500000        44.645833         40.195016  
 559    34.000000        45.000000         47.376664  
 560    34.000000        45.190476         48.889059  
 561    33.577778        45.577778         55.554568  
 562    33.500000        45.500000         55.793744  
 563    33.354167        45.500000         57.249894  
 564    33.833333        45.444444         52.258700  
 565    33.833333        45.444444         52.258700  
 566    33.833333        45.444444         52.258700  
 567    33.833333        45.444444         52.258700  
 568    33.833333        45.444444         52.258700  
 569    33.754386        45.508772         53.429820  
 570    33.833333        45.444444         52.258700  
 571    34.256410        45.333333         47.787759  
 572    33.833333        45.444444         52.258700  
 573    33.645833        45.500000         54.386216  
 574    33.645833        45.500000         54.386216  
 575    33.645833        45.500000         54.386216  
 576    33.645833        45.500000         54.386216  
 577    33.645833        45.500000         54.386216  
 578    33.833333        45.444444         52.258700  
 579    34.190476        45.428571         49.032970  
 580    34.428571        45.190476         45.314414  
 581    30.833333        40.444444        272.512568  
 582    30.422222        39.577778        259.310369  
 583    30.500000        39.354167        262.420463  
 584    30.166667        39.444444        253.280225  
 585    30.166667        39.444444        253.280225  
 586    29.500000        39.645833        235.362999  
 587    29.577778        40.422222        221.938885  
 588    29.500000        40.645833        213.836643  
 589    29.428571        39.809524        231.360627  
 590    29.354167        39.500000        234.501302  
 591    29.422222        39.422222        236.813567  
 592    29.422222        39.577778        234.749520  
 593    29.500000        39.500000        237.354520  
 594    29.500000        39.500000        237.354520  
 595    28.577778        39.577778        221.153913  
 596    28.577778        39.577778        221.153913  
 597    29.074074        39.370370        231.304567  
 598    29.000000        39.500000        228.343552  
 599    29.000000        39.500000        228.343552  
 600    28.571429        39.809524        217.484365  
 601    28.833333        39.444444        226.577065  
 602    29.190476        39.428571        232.494921  
 603    29.354167        39.500000        234.501302  
 604    29.354167        39.500000        234.501302  
 605    28.645833        39.500000        223.171578  
 606    28.577778        39.577778        221.153913  
 607    28.577778        39.577778        221.153913  
 608    28.577778        39.577778        221.153913  
 609    28.577778        39.577778        221.153913  
 610    28.577778        39.577778        221.153913  
 611    28.577778        39.577778        221.153913  
 612    28.577778        39.577778        221.153913  
 613    28.577778        39.577778        221.153913  
 614    28.577778        39.577778        221.153913  
 615    28.645833        39.500000        223.171578  
 616    29.370370        39.074074        239.808992  
 617    29.266667        39.000000        238.785568  
 618    29.354167        39.500000        234.501302  
 619    29.000000        39.266667        231.444883  
 620    29.000000        39.500000        228.343552  
 621    29.000000        39.500000        228.343552  
 622    28.577778        39.577778        221.153913  
 623    28.500000        40.000000        213.410384  
 624    28.500000        40.000000        213.410384  
 625    28.393939        39.939394        213.253999  
 626    28.777778        39.777778        220.743945  
 627    28.500000        40.000000        213.410384  
 628    28.777778        39.777778        220.743945  
 629    28.777778        39.777778        220.743945  
 630    28.577778        39.577778        221.153913  
 631    29.000000        39.500000        228.343552  
 632    29.000000        39.500000        228.343552  
 633    29.000000        39.500000        228.343552  
 634    29.428571        39.190476        239.633453  
 635    29.577778        38.577778        247.583778  
 636    30.500000        38.645833        264.281577  
 637    31.354167        38.500000        280.683137  
 638    32.354167        38.500000        297.521949  
 639    32.577778        38.577778        301.432666  
 640    33.000000        38.733333        308.575735  
 641    33.393939        38.939394        315.424202  
 642    33.500000        39.000000        317.248130  
 643    34.500000        39.500000        331.593324  
 644    34.577778        39.577778        333.013125  
 645    35.000000        40.190476        342.630956  
 646    35.422222        41.422222        358.935444  
 647    35.500000        41.500000        359.898361  
 648    35.500000        41.500000        359.898361  
 649    35.500000        42.500000         11.881140  
 650    35.500000        42.645833         13.567752  
 651    35.500000        43.645833         24.393959  
 652    35.422222        43.577778         24.056976  
 653    35.444444        44.166667         29.714340  
 654    35.354167        44.500000         33.224044  
 655    34.577778        44.577778         38.994707  
 656    34.422222        45.422222         47.111077  
 657    34.354167        45.500000         48.211315  
 658    34.166667        45.555556         50.133019  
 659    33.500000        45.645833         56.743158  
 660    33.000000        46.190476         64.698735  
 661    31.568627        46.431373         80.974443  
 662    31.568627        46.431373         80.974443  
 663    31.354167        46.500000         83.513673  
 664    31.354167        46.500000         83.513673  
 665    30.571429        46.190476         92.631820  
 666    29.606061        45.939394        104.919085  
 667    29.393939        45.939394        107.448344  
 668    29.000000        45.266667        115.425786  
 669    28.500000        44.645833        126.085260  
 670    28.256410        44.333333        131.849792  
 671    27.904762        43.904762        140.255154  
 672    27.925926        43.370370        146.940385  
 673    27.904762        43.095238        151.161134  
 674    27.925926        42.370370        163.231093  
 675    27.866667        41.866667        173.004313  
 676    27.904762        41.095238        188.157866  
 677    27.904762        40.904762        191.829370  
 678    28.133333        40.500000        200.808709  
 679    28.393939        40.060606        211.176856  
 680    28.428571        39.809524        215.770243  
 681    28.500000        39.645833        219.163616  
 682    28.428571        39.809524        215.770243  
 683    28.074074        40.370370        202.759236  
 684    28.266667        40.000000        210.903072  
 685    28.266667        40.000000        210.903072  
 686    28.577778        39.577778        221.153913  
 687    28.577778        39.577778        221.153913  
 688    28.577778        39.577778        221.153913  
 689    28.577778        39.577778        221.153913  
 690    29.500000        39.354167        239.151157  
 691    29.000000        39.500000        228.343552  
 692    28.645833        39.500000        223.171578  
 693    28.577778        39.577778        221.153913  
 694    28.500000        39.645833        219.163616  
 695    28.577778        39.577778        221.153913  
 696    28.577778        39.577778        221.153913  
 697    28.577778        39.577778        221.153913  
 698    28.577778        39.577778        221.153913  
 699    28.577778        39.577778        221.153913  
 700    28.577778        39.577778        221.153913  
 701    28.809524        39.428571        226.449637  
 702    29.000000        39.500000        228.343552  
 703    28.939394        39.606061        225.841090  
 704    29.000000        39.500000        228.343552  
 705    28.939394        39.393939        228.858076  
 706    29.000000        39.500000        228.343552  
 707    28.939394        39.606061        225.841090  
 708    28.777778        39.777778        220.743945  
 709    28.500000        40.000000        213.410384  
 710    28.500000        40.000000        213.410384  
 711    28.925926        39.629630        225.275940  
 712    28.925926        39.629630        225.275940  
 713    28.925926        39.629630        225.275940  
 714    28.743590        39.666667        222.032766  
 715    28.500000        40.000000        213.410384  
 716    28.627451        39.784314        218.606210  
 717    28.645833        39.500000        223.171578  
 718    28.645833        39.500000        223.171578  
 719    28.645833        39.500000        223.171578  
 720    28.645833        39.500000        223.171578  
 721    28.577778        39.577778        221.153913  
 722    28.577778        39.577778        221.153913  
 723    28.577778        39.577778        221.153913  
 724    29.333333        39.256410        237.163500  
 725    29.222222        39.222222        235.615809  
 726    28.577778        39.422222        223.363201  
 727    28.577778        39.422222        223.363201  
 728    28.444444        39.833333        215.570471  
 729    29.190476        39.428571        232.494921  
 730    29.500000        39.500000        237.354520  
